"number_wasps"	"w"	"total_alive"	"total_usurp"	"total_nested"
100	22	7	3	7
100	23	6	2	6
100	24	6	3	6
100	25	7	1	7
100	26	7	2	7
100	27	6	2	6
100	28	6	2	6
100	29	6	2	6
100	30	5	0	5
100	31	6	1	6
100	32	7	3	7
100	33	8	2	8
100	34	6	1	6
100	35	6	4	6
100	36	6	1	6
100	37	5	2	5
100	38	6	1	6
100	39	6	2	6
100	40	7	1	7
100	41	7	4	7
100	42	8	2	8
100	43	6	3	6
100	44	7	1	7
100	45	5	1	5
100	46	7	3	7
100	47	8	4	8
100	48	6	2	6
100	49	5	3	5
100	50	5	1	5
100	51	7	1	7
100	52	7	2	7
100	53	5	2	5
100	54	6	0	6
100	55	5	1	5
100	56	6	2	6
100	57	7	3	7
100	58	7	4	7
100	59	7	3	7
100	60	6	3	6
100	61	7	3	7
100	62	7	2	7
100	63	7	2	7
100	64	7	3	7
100	65	6	2	6
100	66	7	4	7
100	67	6	1	6
100	68	7	2	7
100	69	7	7	7
100	70	5	2	5
100	71	6	3	6
100	72	6	4	6
100	73	5	4	5
100	74	7	3	7
100	75	7	3	7
100	76	7	5	7
100	77	7	2	7
100	78	5	1	5
100	79	7	3	7
100	80	8	5	8
100	81	7	4	7
100	82	7	4	7
100	83	7	2	7
100	84	7	3	7
100	85	7	3	7
100	86	7	2	7
100	87	7	5	7
100	88	6	5	6
100	89	6	3	6
100	90	5	2	5
100	91	7	5	7
100	92	6	3	6
100	93	7	3	7
100	94	7	4	7
100	95	6	4	6
100	96	7	4	7
100	97	5	3	5
100	98	7	5	7
100	99	7	7	7
100	100	7	4	7
110	1	7	0	7
110	2	6	0	6
110	3	7	1	7
110	4	6	0	6
110	5	7	2	7
110	6	6	0	6
110	7	7	0	7
110	8	6	1	6
110	9	6	1	6
110	10	7	1	7
110	11	6	0	6
110	12	5	0	5
110	13	7	0	7
110	14	6	1	6
110	15	5	0	5
110	16	7	1	7
110	17	7	2	7
110	18	7	2	7
110	19	7	1	7
110	20	6	0	6
110	21	7	3	7
110	22	6	0	6
110	23	7	2	7
110	24	7	2	7
110	25	5	2	5
110	26	7	1	7
110	27	6	1	6
110	28	6	1	6
110	29	7	3	7
110	30	7	2	7
110	31	6	1	6
110	32	6	1	6
110	33	5	0	5
110	34	7	2	7
110	35	7	3	7
110	36	6	5	6
110	37	7	1	7
110	38	6	2	6
110	39	7	1	7
110	40	7	2	7
110	41	7	2	7
110	42	7	3	7
110	43	5	1	5
110	44	7	4	7
110	45	7	4	7
110	46	6	1	6
110	47	5	1	5
110	48	7	2	7
110	49	6	1	6
110	50	6	2	6
110	51	7	4	7
110	52	6	1	6
110	53	7	1	7
110	54	7	1	7
110	55	6	1	6
110	56	8	4	8
110	57	6	2	6
110	58	6	0	6
110	59	7	2	7
110	60	6	3	6
110	61	7	3	7
110	62	7	3	7
110	63	6	4	6
110	64	7	2	7
110	65	4	2	4
110	66	7	4	7
110	67	6	1	6
110	68	6	3	6
110	69	6	2	6
110	70	6	4	6
110	71	5	2	5
110	72	6	2	6
110	73	6	4	6
110	74	7	1	7
110	75	6	4	6
110	76	6	2	6
110	77	7	4	7
110	78	6	3	6
110	79	6	4	6
110	80	7	6	7
110	81	6	3	6
110	82	7	2	7
110	83	6	3	6
110	84	8	3	8
110	85	6	2	6
110	86	6	5	6
110	87	7	0	7
110	88	6	2	6
110	89	6	2	6
110	90	6	1	6
110	91	5	4	5
110	92	4	2	4
110	93	6	2	6
110	94	6	4	6
110	95	6	4	6
110	96	5	4	5
110	97	5	3	5
110	98	8	3	8
110	99	7	4	7
110	100	5	1	5
110	101	6	3	6
110	102	5	3	5
110	103	5	2	5
110	104	7	4	7
110	105	6	5	6
110	106	7	1	7
110	107	6	5	6
110	108	6	4	6
110	109	7	5	7
110	110	8	4	8
120	1	6	0	6
120	2	7	0	7
120	3	7	0	7
120	4	7	2	7
120	5	7	0	7
120	6	5	1	5
120	7	7	0	7
120	8	7	0	7
120	9	7	1	7
120	10	7	1	7
120	11	7	1	7
120	12	6	0	6
120	13	7	3	7
120	14	7	1	7
120	15	7	1	7
120	16	6	1	6
120	17	7	1	7
120	18	7	1	7
120	19	7	1	7
120	20	6	2	6
120	21	6	0	6
120	22	6	1	6
120	23	7	2	7
120	24	7	2	7
120	25	8	1	8
120	26	5	2	5
120	27	6	3	6
120	28	6	2	6
120	29	7	1	7
120	30	7	1	7
120	31	6	3	6
120	32	6	2	6
120	33	7	5	7
120	34	7	2	7
120	35	8	4	8
120	36	7	2	7
120	37	5	2	5
120	38	7	0	7
120	39	7	1	7
120	40	7	4	7
120	41	5	2	5
120	42	7	2	7
120	43	7	2	7
120	44	6	2	6
120	45	7	4	7
120	46	7	4	7
120	47	7	3	7
120	48	6	3	6
120	49	7	3	7
120	50	6	2	6
120	51	6	1	6
120	52	7	3	7
120	53	7	4	7
120	54	5	3	5
120	55	7	3	7
120	56	6	2	6
120	57	6	1	6
120	58	7	3	7
120	59	6	3	6
120	60	6	4	6
120	61	6	3	6
120	62	9	4	9
120	63	6	3	6
120	64	4	1	4
120	65	7	1	7
120	66	7	6	7
120	67	6	3	6
120	68	6	5	6
120	69	6	3	6
120	70	6	2	6
120	71	6	2	6
120	72	6	2	6
120	73	5	3	5
120	74	7	4	7
120	75	7	3	7
120	76	6	4	6
120	77	4	1	4
120	78	8	4	8
120	79	6	1	6
120	80	7	3	7
120	81	6	5	6
120	82	6	3	6
120	83	6	3	6
120	84	6	2	6
120	85	6	1	6
120	86	6	0	6
120	87	6	3	6
120	88	6	2	6
120	89	6	3	6
120	90	6	4	6
120	91	8	3	8
120	92	5	3	5
120	93	6	2	6
120	94	7	2	7
120	95	7	4	7
120	96	7	3	7
120	97	6	3	6
120	98	4	4	4
120	99	6	3	6
120	100	7	4	7
120	101	7	5	7
120	102	7	3	7
120	103	7	4	7
120	104	7	3	7
120	105	6	4	6
120	106	6	3	6
120	107	6	5	6
120	108	8	6	8
120	109	7	3	7
120	110	5	2	5
120	111	5	3	5
120	112	6	2	6
120	113	5	1	5
120	114	6	3	6
120	115	6	2	6
120	116	7	4	7
120	117	6	4	6
120	118	6	3	6
