"number_wasps"	"w"	"max_steps"	"min_steps"	"mean_steps"	"mean_survival"	"mean_nested"	"mean_usurp"
110	3	430	1	109.2	0.7	0.7	0.1
110	4	1580	2	352.2	0.6	0.6	0
110	5	849	1	215.2	0.7	0.7	0.2
110	6	712	1	176.3	0.6	0.6	0
110	7	785	2	182.3	0.7	0.7	0
110	8	1542	1	222.6	0.6	0.6	0.1
110	9	997	2	178	0.6	0.6	0.1
110	10	331	1	66.2	0.7	0.7	0.1
110	11	2065	2	301.2	0.6	0.6	0
110	12	289	3	75.4	0.5	0.5	0
110	13	350	4	91.7	0.7	0.7	0
110	14	1094	2	245.2	0.6	0.6	0.1
110	15	688	3	108.3	0.5	0.5	0
110	16	1189	2	182.6	0.7	0.7	0.1
110	17	1935	1	372.3	0.7	0.7	0.2
110	18	1366	3	259.5	0.7	0.7	0.2
110	19	627	3	118.8	0.7	0.7	0.1
110	20	1527	2	201.8	0.6	0.6	0
110	21	633	4	158.3	0.7	0.7	0.3
110	22	596	3	114.6	0.6	0.6	0
110	23	1397	1	213.8	0.7	0.7	0.2
110	24	958	3	199.9	0.7	0.7	0.2
110	25	362	1	82.9	0.5	0.5	0.2
110	26	2182	1	342.2	0.7	0.7	0.1
110	27	584	2	113.8	0.6	0.6	0.1
110	28	380	3	94.2	0.6	0.6	0.1
110	29	633	2	124.6	0.7	0.7	0.3
110	30	840	1	178	0.7	0.7	0.2
110	31	1813	2	459.2	0.6	0.6	0.1
110	32	799	1	119.2	0.6	0.6	0.1
110	33	391	5	127.2	0.5	0.5	0
110	34	155	6	41	0.7	0.7	0.2
110	35	414	1	82.2	0.7	0.7	0.3
110	36	1434	3	264.4	0.6	0.6	0.5
110	37	761	3	127.9	0.7	0.7	0.1
110	38	1059	4	261.3	0.6	0.6	0.2
110	39	948	6	173.5	0.7	0.7	0.1
110	40	673	4	207.1	0.7	0.7	0.2
110	41	1338	6	236.7	0.7	0.7	0.2
110	42	398	2	163.4	0.7	0.7	0.3
110	43	851	4	182.6	0.5	0.5	0.1
110	44	714	5	197.1	0.7	0.7	0.4
110	45	1275	5	213.1	0.7	0.7	0.4
110	46	1577	1	196.5	0.6	0.6	0.1
