"number_wasps"	"w"	"max_steps"	"min_steps"	"mean_steps"	"mean_survival"	"mean_nested"	"mean_usurp"	"Treatment"
100	85	1224	1	180.8	0.7	0.7	0.3	"FSF"
100	86	258	3	65.8	0.7	0.7	0.2	"FSF"
100	87	1278	2	290.5	0.6	0.6	0.4	"FSF"
100	88	393	1	91.1	0.7	0.7	0.4	"FSF"
100	89	1572	1	175	0.7	0.7	0.4	"FSF"
100	90	1448	2	179.9	0.7	0.7	0.3	"FSF"
100	91	1397	1	342.7	0.5	0.5	0.3	"FSF"
100	92	504	2	82.2	0.8	0.8	0.2	"FSF"
100	93	1022	3	188.2	0.7	0.7	0.3	"FSF"
100	94	170	1	33.3	0.8	0.8	0.3	"FSF"
100	95	1914	4	268.2	0.6	0.6	0	"FSF"
100	96	1620	1	205.2	0.7	0.7	0.2	"FSF"
100	97	429	7	136.4	0.6	0.6	0.3	"FSF"
100	98	972	2	141	0.8	0.8	0.3	"FSF"
100	99	269	3	45.9	0.8	0.8	0.4	"FSF"
100	100	120	3	30.1	0.8	0.8	0.4	"FSF"
110	1	92	1	22.6	0.8	0.8	0	"FSF"
110	2	73	1	8.8	0.8	0.8	0	"FSF"
110	3	1075	1	118	0.9	0.9	0	"FSF"
110	4	491	1	124.1	0.7	0.7	0	"FSF"
110	5	281	1	33.4	0.9	0.9	0	"FSF"
110	6	429	1	66.4	0.8	0.8	0.2	"FSF"
110	7	678	1	119.1	0.8	0.8	0.1	"FSF"
110	8	718	1	191	0.7	0.7	0	"FSF"
110	9	313	1	36.6	0.8	0.8	0.1	"FSF"
110	10	480	2	75.8	0.8	0.8	0	"FSF"
110	11	910	1	101.4	0.9	0.9	0.2	"FSF"
