"number_wasps"	"w"	"total_alive"	"total_usurp"	"total_nested"	"Treatment"
110	57	6	3	6	"FSF"
110	58	7	3	7	"FSF"
110	59	7	3	7	"FSF"
110	60	6	1	6	"FSF"
110	61	6	2	6	"FSF"
110	62	7	1	7	"FSF"
110	63	6	1	6	"FSF"
110	64	8	2	8	"FSF"
110	65	7	2	7	"FSF"
110	66	8	4	8	"FSF"
110	67	7	1	7	"FSF"
110	68	7	2	7	"FSF"
110	69	7	4	7	"FSF"
110	70	8	2	8	"FSF"
110	71	8	3	8	"FSF"
110	72	7	1	7	"FSF"
110	73	7	1	7	"FSF"
110	74	8	2	8	"FSF"
110	75	8	1	8	"FSF"
110	76	7	3	7	"FSF"
110	77	6	2	6	"FSF"
110	78	7	1	7	"FSF"
110	79	8	3	8	"FSF"
110	80	7	4	7	"FSF"
110	81	8	3	8	"FSF"
110	82	7	3	7	"FSF"
110	83	7	2	7	"FSF"
110	84	7	2	7	"FSF"
110	85	9	4	9	"FSF"
110	86	7	3	7	"FSF"
110	87	7	4	7	"FSF"
110	88	7	3	7	"FSF"
110	89	7	3	7	"FSF"
110	90	6	2	6	"FSF"
110	91	6	2	6	"FSF"
110	92	7	1	7	"FSF"
110	93	7	2	7	"FSF"
110	94	5	3	5	"FSF"
110	95	5	4	5	"FSF"
110	96	7	2	7	"FSF"
110	97	6	4	6	"FSF"
110	98	7	6	7	"FSF"
110	99	8	2	8	"FSF"
110	100	7	4	7	"FSF"
110	101	6	3	6	"FSF"
110	102	6	4	6	"FSF"
110	103	6	3	6	"FSF"
110	104	6	1	6	"FSF"
110	105	6	4	6	"FSF"
110	106	7	5	7	"FSF"
110	107	6	2	6	"FSF"
110	108	7	3	7	"FSF"
110	109	6	4	6	"FSF"
110	110	6	0	6	"FSF"
120	1	8	0	8	"FSF"
120	2	8	0	8	"FSF"
120	3	8	0	8	"FSF"
120	4	9	0	9	"FSF"
120	5	9	0	9	"FSF"
120	6	8	0	8	"FSF"
120	7	8	1	8	"FSF"
120	8	9	0	9	"FSF"
120	9	8	0	8	"FSF"
120	10	8	2	8	"FSF"
120	11	8	0	8	"FSF"
120	12	8	0	8	"FSF"
120	13	8	3	8	"FSF"
120	14	7	0	7	"FSF"
120	15	9	1	9	"FSF"
120	16	8	1	8	"FSF"
120	17	8	3	8	"FSF"
120	18	7	2	7	"FSF"
120	19	8	2	8	"FSF"
120	20	8	0	8	"FSF"
120	21	7	2	7	"FSF"
120	22	7	1	7	"FSF"
120	23	6	2	6	"FSF"
120	24	8	0	8	"FSF"
120	25	9	2	9	"FSF"
120	26	6	0	6	"FSF"
120	27	9	1	9	"FSF"
120	28	7	0	7	"FSF"
120	29	7	1	7	"FSF"
120	30	7	3	7	"FSF"
120	31	6	2	6	"FSF"
120	32	7	2	7	"FSF"
120	33	8	5	8	"FSF"
120	34	7	3	7	"FSF"
120	35	7	2	7	"FSF"
120	36	7	2	7	"FSF"
120	37	8	3	8	"FSF"
120	38	8	2	8	"FSF"
120	39	8	2	8	"FSF"
120	40	7	1	7	"FSF"
120	41	8	3	8	"FSF"
120	42	6	1	6	"FSF"
120	43	7	0	7	"FSF"
120	44	7	2	7	"FSF"
